ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"Department\" Name=\"field_1\" ID=\"{3f140692-3824-49ff-a318-fc3eb11cf549}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"Expense Type\" Name=\"field_2\" ID=\"{6cae3180-96aa-4656-9636-2ab3e12dcfed}\" StaticName=\"field_2\" />","<Field Type=\"Number\" DisplayName=\"Amount\" Name=\"field_3\" ID=\"{4a0594f6-98de-43eb-8918-af1c1f0e3bd6}\" StaticName=\"field_3\" />","<Field Type=\"Text\" DisplayName=\"Date\" Name=\"field_4\" ID=\"{b3d8c2c6-0aab-4154-9068-06cee7518de0}\" StaticName=\"field_4\" />","<Field Type=\"Text\" DisplayName=\"Location\" Name=\"field_5\" ID=\"{f3bc0e3a-d5e2-44b6-939a-9a03b27d60ee}\" StaticName=\"field_5\" />","<Field Type=\"Text\" DisplayName=\"Project Name\" Name=\"field_6\" ID=\"{2cf6ec90-c493-402b-9afa-5757aab0e868}\" StaticName=\"field_6\" />","<Field Type=\"Text\" DisplayName=\"Vendor\" Name=\"field_7\" ID=\"{1fd1aba8-a35c-4ffc-8e14-62b233b71932}\" StaticName=\"field_7\" />","<Field Type=\"Text\" DisplayName=\"Payment Method\" Name=\"field_8\" ID=\"{a218832c-9d9b-48b7-a596-6fda40b3c6e0}\" StaticName=\"field_8\" />","<Field Type=\"Text\" DisplayName=\"Approval Status\" Name=\"field_9\" ID=\"{168c6ca9-7cfc-4fc0-89f7-d603cff04c3a}\" StaticName=\"field_9\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Company Name\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Company Name","Department","Expense Type","Amount","Date","Location","Project Name","Vendor","Payment Method","Approval Status"
"NetFusion","IT","Travel","7,322.48","2024-07-31","Berlin","Apollo","VendorA","PayPal","Approved"
"TechNova","Marketing","Training","4,924.87","2025-03-03","Bangalore","Hermes","VendorB","Cheque","Pending"
"CyberCore","Marketing","Training","7,343.36","2024-12-15","Toronto","Hermes","VendorC","Bank Transfer","Approved"
"DataWave","R&D","Training","9,147.85","2024-09-24","New York","Athena","VendorA","PayPal","Approved"
"NetFusion","Marketing","Salaries","6,563.74","2024-12-25","Toronto","Zeus","VendorC","Bank Transfer","Approved"
"InnoSoft","Marketing","Utilities","2,507.03","2024-12-29","New York","Zeus","VendorD","Bank Transfer","Pending"
"CyberCore","R&D","Consulting","9,575.85","2024-12-28","New York","Orion","VendorA","Cheque","Rejected"
"TechNova","IT","Travel","4,401.45","2024-08-24","New York","Hermes","VendorB","Cheque","Pending"
"InnoSoft","Operations","Travel","5,940.25","2025-03-26","Berlin","Orion","VendorC","Bank Transfer","Approved"
"DataWave","Finance","Software","2,922.33","2024-10-22","New York","Orion","VendorE","Credit Card","Pending"
"DataWave","R&D","Training","2,341.18","2024-07-12","San Francisco","Hermes","VendorA","Cheque","Approved"
"NetFusion","Marketing","Training","5,875.57","2024-09-21","Berlin","Athena","VendorD","Bank Transfer","Pending"
"CyberCore","Marketing","Software","907.14","2025-04-10","San Francisco","Hermes","VendorB","Cheque","Rejected"
"NetFusion","R&D","Consulting","6,064.89","2024-09-13","New York","Apollo","VendorD","Bank Transfer","Pending"
"TechNova","HR","Hardware","4,724.19","2024-08-11","San Francisco","Orion","VendorD","Cheque","Approved"
"DataWave","IT","Salaries","4,549.81","2024-08-16","London","Zeus","VendorA","Credit Card","Pending"
"TechNova","R&D","Travel","9,133.69","2024-10-19","Berlin","Athena","VendorD","Cheque","Approved"
"NetFusion","IT","Salaries","1,365.48","2025-05-04","Berlin","Apollo","VendorD","Credit Card","Rejected"
"TechNova","IT","Consulting","4,523","2024-08-26","Berlin","Zeus","VendorD","PayPal","Rejected"
"CyberCore","R&D","Utilities","1,724.85","2025-06-14","Toronto","Apollo","VendorA","PayPal","Pending"
"CyberCore","Operations","Software","2,712.94","2024-07-15","San Francisco","Hermes","VendorB","Bank Transfer","Rejected"
"DataWave","IT","Hardware","5,243.99","2024-11-14","Bangalore","Orion","VendorA","PayPal","Approved"
"InnoSoft","Finance","Salaries","3,191.95","2025-02-13","New York","Athena","VendorD","Credit Card","Pending"
"InnoSoft","Operations","Software","7,484.84","2025-05-13","London","Orion","VendorA","PayPal","Pending"
"CyberCore","HR","Utilities","9,274.81","2024-11-11","London","Orion","VendorB","Bank Transfer","Approved"
"TechNova","R&D","Consulting","2,586.88","2024-09-18","London","Zeus","VendorD","Cheque","Approved"
"InnoSoft","IT","Travel","1,469.95","2024-09-10","London","Hermes","VendorB","Bank Transfer","Rejected"
"InnoSoft","Finance","Utilities","1,760.61","2025-02-28","San Francisco","Zeus","VendorE","Bank Transfer","Rejected"
"CyberCore","HR","Software","5,460.85","2024-09-21","New York","Athena","VendorB","Bank Transfer","Rejected"
"DataWave","IT","Training","9,190.57","2024-07-27","London","Orion","VendorE","Credit Card","Pending"
"DataWave","HR","Software","3,162.37","2025-01-27","New York","Orion","VendorD","PayPal","Pending"
"InnoSoft","IT","Travel","9,525.35","2025-05-13","New York","Hermes","VendorA","Bank Transfer","Approved"
"DataWave","Finance","Training","5,673.86","2025-03-30","Berlin","Hermes","VendorC","Cheque","Approved"
"CyberCore","HR","Training","4,462.32","2024-08-02","Bangalore","Apollo","VendorC","Credit Card","Approved"
"InnoSoft","Marketing","Salaries","7,229.83","2024-12-25","Berlin","Orion","VendorD","Credit Card","Rejected"
"NetFusion","IT","Utilities","7,899.03","2024-12-20","New York","Zeus","VendorA","PayPal","Pending"
"InnoSoft","HR","Software","2,233.17","2025-02-11","New York","Zeus","VendorC","Cheque","Rejected"
"NetFusion","HR","Salaries","3,774.57","2025-04-11","Toronto","Zeus","VendorA","Bank Transfer","Pending"
"TechNova","IT","Hardware","5,871.69","2024-07-21","San Francisco","Hermes","VendorA","Bank Transfer","Rejected"
"CyberCore","Operations","Travel","7,056.6","2024-12-30","London","Hermes","VendorC","Bank Transfer","Rejected"
"InnoSoft","HR","Training","1,445.36","2025-06-29","Toronto","Zeus","VendorA","Bank Transfer","Approved"
"NetFusion","HR","Travel","1,310.58","2024-08-17","Bangalore","Zeus","VendorA","Cheque","Approved"
"NetFusion","Finance","Salaries","4,344.18","2025-05-15","London","Apollo","VendorE","Credit Card","Approved"
"TechNova","Operations","Travel","8,483.99","2025-05-18","San Francisco","Zeus","VendorA","PayPal","Rejected"
"InnoSoft","IT","Software","2,852.59","2024-09-15","Toronto","Hermes","VendorE","Credit Card","Rejected"
"TechNova","R&D","Software","4,057.59","2025-05-17","New York","Orion","VendorC","PayPal","Approved"
"NetFusion","HR","Salaries","1,794.45","2024-12-28","London","Apollo","VendorC","PayPal","Approved"
"DataWave","IT","Consulting","3,101.96","2024-10-19","San Francisco","Athena","VendorD","Bank Transfer","Approved"
"DataWave","Operations","Utilities","512.79","2025-05-10","Bangalore","Orion","VendorE","PayPal","Rejected"
"CyberCore","HR","Utilities","2,162.77","2025-02-25","New York","Athena","VendorD","Bank Transfer","Rejected"
"TechNova","Operations","Hardware","6,076.56","2025-07-11","Berlin","Hermes","VendorB","PayPal","Approved"
"DataWave","IT","Training","5,303.78","2024-12-31","London","Athena","VendorE","Credit Card","Pending"
"InnoSoft","Finance","Salaries","8,825.28","2024-11-10","Toronto","Zeus","VendorE","PayPal","Rejected"
"CyberCore","Operations","Travel","338.84","2025-05-17","New York","Orion","VendorB","Cheque","Pending"
"CyberCore","Finance","Hardware","7,243.32","2024-09-30","Toronto","Hermes","VendorC","Credit Card","Pending"
"DataWave","Operations","Salaries","5,680.18","2025-04-07","Bangalore","Zeus","VendorC","PayPal","Approved"
"NetFusion","R&D","Travel","3,259.82","2025-04-18","San Francisco","Athena","VendorE","Bank Transfer","Approved"
"NetFusion","Operations","Consulting","9,240.09","2025-01-21","Bangalore","Apollo","VendorD","Cheque","Rejected"
"TechNova","HR","Consulting","548.91","2024-07-20","Berlin","Athena","VendorC","Cheque","Pending"
"CyberCore","Finance","Utilities","9,838.11","2025-04-01","Berlin","Athena","VendorC","Credit Card","Approved"
"InnoSoft","Finance","Software","3,413.37","2024-07-15","London","Orion","VendorC","Bank Transfer","Rejected"
"TechNova","Finance","Software","5,113.88","2024-10-01","New York","Athena","VendorC","PayPal","Pending"
"NetFusion","Operations","Travel","6,005.45","2024-12-21","New York","Zeus","VendorC","Bank Transfer","Pending"
"NetFusion","Finance","Consulting","1,964.81","2024-10-28","Berlin","Hermes","VendorB","Bank Transfer","Rejected"
"NetFusion","Marketing","Utilities","4,798.5","2024-08-24","London","Athena","VendorB","PayPal","Approved"
"TechNova","Finance","Training","1,500.06","2024-11-12","Bangalore","Athena","VendorB","Credit Card","Pending"
"CyberCore","HR","Software","4,428.62","2025-02-07","Toronto","Hermes","VendorC","Credit Card","Rejected"
"CyberCore","IT","Software","9,370.58","2025-04-07","New York","Orion","VendorD","Credit Card","Pending"
"CyberCore","IT","Salaries","9,957.04","2025-05-01","San Francisco","Hermes","VendorC","Credit Card","Approved"
"TechNova","Operations","Travel","1,195.47","2024-11-08","Bangalore","Orion","VendorC","Bank Transfer","Rejected"
"InnoSoft","Marketing","Salaries","9,623.87","2025-06-01","Toronto","Apollo","VendorB","Cheque","Pending"
"DataWave","R&D","Training","7,649.17","2025-01-11","New York","Athena","VendorA","Bank Transfer","Rejected"
"TechNova","R&D","Travel","4,778.24","2025-02-06","Berlin","Zeus","VendorA","Cheque","Rejected"
"NetFusion","Operations","Travel","3,830.56","2024-11-28","Bangalore","Orion","VendorA","Credit Card","Rejected"
"TechNova","IT","Travel","101.64","2025-01-31","Toronto","Athena","VendorB","Cheque","Rejected"
"CyberCore","Marketing","Training","7,125.84","2025-05-26","London","Athena","VendorD","PayPal","Rejected"
"DataWave","HR","Consulting","5,767.15","2024-09-19","Bangalore","Zeus","VendorE","Cheque","Rejected"
"NetFusion","Operations","Travel","8,329.31","2025-05-07","London","Athena","VendorC","Cheque","Rejected"
"NetFusion","Marketing","Utilities","2,819.21","2024-10-06","San Francisco","Zeus","VendorB","Cheque","Pending"
"CyberCore","Finance","Software","635.05","2025-07-05","Bangalore","Zeus","VendorE","Credit Card","Rejected"
"TechNova","IT","Software","7,774.96","2024-12-03","San Francisco","Zeus","VendorE","Credit Card","Rejected"
"DataWave","HR","Software","5,139.71","2025-02-05","Toronto","Athena","VendorA","Credit Card","Approved"
"TechNova","Operations","Training","1,218.24","2024-08-17","New York","Apollo","VendorC","Credit Card","Rejected"
"CyberCore","IT","Training","6,381.81","2025-06-04","Toronto","Zeus","VendorE","Cheque","Rejected"
"TechNova","Finance","Utilities","3,013.14","2024-10-13","London","Zeus","VendorE","PayPal","Approved"
"NetFusion","Finance","Travel","4,194.45","2024-12-19","London","Athena","VendorD","Credit Card","Rejected"
"DataWave","Operations","Software","521.34","2024-10-07","Toronto","Athena","VendorD","Credit Card","Approved"
"NetFusion","Marketing","Consulting","8,269.44","2025-05-12","Bangalore","Hermes","VendorD","Cheque","Approved"
"CyberCore","IT","Utilities","5,809.99","2025-01-14","Berlin","Hermes","VendorD","PayPal","Approved"
"CyberCore","IT","Travel","6,733.33","2025-06-24","London","Zeus","VendorE","Bank Transfer","Rejected"
"DataWave","Marketing","Utilities","5,624.53","2024-11-26","Toronto","Apollo","VendorB","PayPal","Approved"
"CyberCore","Marketing","Salaries","6,010.22","2025-04-30","Berlin","Orion","VendorC","Cheque","Rejected"
"TechNova","IT","Travel","1,784.1","2025-01-11","London","Zeus","VendorB","PayPal","Approved"
"TechNova","Marketing","Utilities","8,395.17","2025-05-10","London","Hermes","VendorC","Cheque","Pending"
"InnoSoft","Marketing","Hardware","3,195.68","2024-10-28","San Francisco","Orion","VendorA","Credit Card","Rejected"
"NetFusion","R&D","Utilities","923.67","2024-12-29","San Francisco","Orion","VendorA","Cheque","Pending"
"TechNova","HR","Utilities","8,316.45","2025-07-10","San Francisco","Zeus","VendorE","PayPal","Rejected"
"TechNova","HR","Consulting","429.87","2024-12-06","New York","Athena","VendorD","Cheque","Pending"
"DataWave","Operations","Consulting","3,492.83","2025-01-20","Berlin","Zeus","VendorB","Bank Transfer","Pending"
"DataWave","Finance","Travel","7,705.81","2024-11-25","Toronto","Zeus","VendorC","Cheque","Pending"
"TechNova","Marketing","Salaries","5,437.64","2025-05-14","New York","Zeus","VendorD","Credit Card","Approved"
"CyberCore","Marketing","Utilities","3,082.32","2025-06-25","Toronto","Zeus","VendorC","Cheque","Approved"
"NetFusion","Operations","Training","6,159.08","2024-11-07","Bangalore","Orion","VendorA","Credit Card","Pending"
"NetFusion","IT","Utilities","9,101.09","2024-10-09","New York","Orion","VendorC","PayPal","Rejected"
"InnoSoft","IT","Travel","7,663.48","2025-03-05","Berlin","Zeus","VendorC","PayPal","Approved"
"NetFusion","IT","Hardware","2,451.03","2024-12-10","New York","Athena","VendorA","Bank Transfer","Rejected"
"DataWave","Finance","Salaries","6,618.34","2024-09-05","New York","Orion","VendorA","Bank Transfer","Approved"
"InnoSoft","Finance","Salaries","6,138.91","2024-12-09","London","Apollo","VendorD","Bank Transfer","Pending"
"InnoSoft","HR","Salaries","4,655.18","2024-08-01","Toronto","Athena","VendorC","Bank Transfer","Approved"
"TechNova","HR","Utilities","7,797.35","2025-07-02","Bangalore","Hermes","VendorE","Bank Transfer","Approved"
"DataWave","HR","Hardware","3,686.09","2024-12-30","Toronto","Zeus","VendorB","Bank Transfer","Pending"
"TechNova","Finance","Software","5,549.45","2025-02-24","Bangalore","Apollo","VendorA","Bank Transfer","Approved"
"TechNova","Marketing","Hardware","3,697.45","2024-10-23","Bangalore","Orion","VendorC","Bank Transfer","Pending"
"DataWave","HR","Consulting","6,184.65","2025-03-24","Berlin","Zeus","VendorC","Credit Card","Rejected"
"InnoSoft","Marketing","Training","3,044.7","2024-08-19","New York","Apollo","VendorA","PayPal","Rejected"
"DataWave","IT","Utilities","932.89","2025-03-27","Berlin","Hermes","VendorA","PayPal","Pending"
"InnoSoft","Operations","Salaries","4,226.08","2024-10-13","New York","Apollo","VendorB","Credit Card","Pending"
"NetFusion","Marketing","Consulting","1,837.19","2024-11-07","Toronto","Apollo","VendorA","Cheque","Rejected"
"DataWave","Finance","Consulting","478.64","2024-09-26","San Francisco","Hermes","VendorC","PayPal","Approved"
"NetFusion","IT","Training","7,895.08","2024-11-11","Bangalore","Apollo","VendorE","Cheque","Rejected"
"DataWave","Operations","Training","4,939.68","2024-09-21","Bangalore","Hermes","VendorB","Credit Card","Pending"
"CyberCore","IT","Travel","9,645.03","2025-01-23","London","Hermes","VendorD","PayPal","Rejected"
"NetFusion","Operations","Utilities","7,731.62","2024-09-06","New York","Athena","VendorC","Credit Card","Rejected"
"CyberCore","Operations","Travel","6,145.02","2024-08-23","Toronto","Orion","VendorB","Credit Card","Pending"
"InnoSoft","IT","Salaries","7,584.78","2024-09-29","New York","Orion","VendorD","Bank Transfer","Pending"
"TechNova","R&D","Software","2,309.8","2025-06-17","Berlin","Zeus","VendorE","Bank Transfer","Pending"
"InnoSoft","IT","Consulting","1,467.02","2025-06-06","Bangalore","Orion","VendorB","PayPal","Rejected"
"InnoSoft","R&D","Training","3,338.98","2025-06-17","Berlin","Orion","VendorB","Credit Card","Pending"
"CyberCore","IT","Software","9,745.05","2024-11-25","London","Orion","VendorE","Cheque","Pending"
"TechNova","IT","Software","2,323.9","2024-12-04","Toronto","Apollo","VendorA","Cheque","Approved"
"NetFusion","Finance","Salaries","1,785.39","2024-09-30","San Francisco","Hermes","VendorA","PayPal","Approved"
"CyberCore","Operations","Utilities","5,308.4","2025-03-30","San Francisco","Apollo","VendorD","PayPal","Rejected"
"DataWave","R&D","Software","3,640.69","2025-01-23","Toronto","Athena","VendorA","PayPal","Approved"
"DataWave","Finance","Travel","6,970.51","2025-02-05","Bangalore","Apollo","VendorE","Bank Transfer","Pending"
"CyberCore","IT","Utilities","2,736.39","2025-01-09","Berlin","Zeus","VendorE","PayPal","Rejected"
"DataWave","Finance","Software","8,296.95","2025-01-18","San Francisco","Zeus","VendorA","Credit Card","Approved"
"NetFusion","Operations","Travel","7,244.71","2025-03-13","New York","Orion","VendorA","Cheque","Rejected"
"TechNova","Finance","Salaries","6,618.6","2024-11-05","Berlin","Apollo","VendorE","Credit Card","Rejected"
"NetFusion","HR","Consulting","899.64","2025-07-09","Berlin","Athena","VendorD","PayPal","Rejected"
"NetFusion","R&D","Software","3,322.06","2024-08-06","Toronto","Zeus","VendorA","Bank Transfer","Pending"
"InnoSoft","HR","Travel","6,061.58","2024-08-15","London","Apollo","VendorA","Cheque","Approved"
"TechNova","HR","Consulting","2,301.25","2024-10-04","San Francisco","Hermes","VendorA","Credit Card","Pending"
"NetFusion","Finance","Travel","3,647.9","2025-04-29","Toronto","Athena","VendorA","Credit Card","Pending"
"CyberCore","R&D","Software","3,969.18","2024-11-11","Toronto","Orion","VendorA","Cheque","Approved"
"NetFusion","Operations","Software","8,587.76","2025-05-11","New York","Athena","VendorE","Credit Card","Rejected"
"DataWave","IT","Software","3,822.49","2025-05-24","San Francisco","Athena","VendorB","Credit Card","Rejected"
"CyberCore","Operations","Consulting","6,925.56","2025-05-10","London","Hermes","VendorB","Bank Transfer","Pending"
"InnoSoft","R&D","Consulting","265.01","2025-05-20","San Francisco","Hermes","VendorE","Bank Transfer","Pending"
"NetFusion","IT","Salaries","927.85","2025-01-14","London","Athena","VendorB","Credit Card","Approved"
"TechNova","Marketing","Salaries","1,372.76","2025-04-26","San Francisco","Orion","VendorD","Credit Card","Rejected"
"InnoSoft","Marketing","Training","6,384.79","2025-03-23","San Francisco","Zeus","VendorE","Credit Card","Pending"
"InnoSoft","R&D","Hardware","9,436.32","2025-02-21","Bangalore","Apollo","VendorB","PayPal","Approved"
"InnoSoft","Finance","Software","288.17","2025-05-04","New York","Orion","VendorB","Bank Transfer","Rejected"
"InnoSoft","Marketing","Software","7,101.4","2024-11-11","Toronto","Orion","VendorE","Cheque","Approved"
"TechNova","Finance","Software","6,257.31","2024-08-23","Bangalore","Apollo","VendorB","Cheque","Pending"
"TechNova","Finance","Salaries","1,341.84","2025-07-09","San Francisco","Athena","VendorE","Bank Transfer","Approved"
"CyberCore","Marketing","Travel","8,755.95","2025-05-28","San Francisco","Hermes","VendorA","Credit Card","Approved"
"DataWave","R&D","Training","5,212.21","2025-02-27","San Francisco","Apollo","VendorC","Bank Transfer","Rejected"
"DataWave","Operations","Software","8,649.12","2025-02-15","Bangalore","Zeus","VendorB","Cheque","Pending"
"NetFusion","IT","Consulting","2,456.5","2024-09-13","New York","Hermes","VendorB","Cheque","Rejected"
"TechNova","Finance","Salaries","6,479.51","2025-01-11","San Francisco","Athena","VendorE","Credit Card","Rejected"
